order_id;customer_id;loyalty_balance_before;loyalty_balance_after;loyalty_balance_delta
140;5157;14,0;20,0;6,0
141;5163;50,0;56,0;6,0
142;5187;32,0;32,0;0,0
143;5197;44,0;50,0;6,0
144;5201;48,0;48,0;0,0
145;5208;18,0;24,0;6,0
146;5218;29,0;29,0;0,0
147;5224;5,0;11,0;6,0
148;5227;37,0;37,0;0,0
149;5246;11,0;11,0;0,0
150;5248;45,0;45,0;0,0
151;5318;0,0;0,0;0,0
152;5322;0,0;0,0;0,0
153;5779;38,0;38,0;0,0
154;5850;17,0;22,0;5,0
155;6057;7,0;7,0;0,0
156;6191;30,0;30,0;0,0
157;6319;18,0;18,0;0,0
158;6422;44,0;44,0;0,0
159;6659;9,0;9,0;0,0
160;6692;0,0;0,0;0,0
161;6718;20,0;20,0;0,0
162;6791;44,0;44,0;0,0
163;6825;14,0;19,0;5,0
164;6863;37,0;37,0;0,0
165;6905;7,0;7,0;0,0
166;6966;15,0;15,0;0,0
167;7584;50,0;50,0;0,0
168;7644;48,0;48,0;0,0
169;8004;4,0;4,0;0,0
170;8085;49,0;54,0;5,0
171;8231;16,0;21,0;5,0
172;30;37,0;52,0;15,0
173;105;8,0;23,0;15,0
174;120;28,0;58,0;30,0
175;160;45,0;60,0;15,0
176;207;32,0;47,0;15,0
177;225;13,0;13,0;0,0
178;245;29,0;59,0;30,0
179;255;4,0;4,0;0,0
180;260;8,0;8,0;0,0
181;292;48,0;48,0;0,0
182;371;25,0;40,0;15,0
183;375;7,0;22,0;15,0
184;377;3,0;18,0;15,0
185;402;23,0;38,0;15,0
186;439;41,0;41,0;0,0
187;458;47,0;62,0;15,0
188;462;22,0;37,0;15,0
189;501;23,0;23,0;0,0
190;515;50,0;50,0;0,0
191;538;48,0;63,0;15,0
192;545;45,0;60,0;15,0
193;548;14,0;14,0;0,0
194;596;50,0;65,0;15,0
195;605;12,0;27,0;15,0
196;617;35,0;50,0;15,0
197;657;5,0;20,0;15,0
198;669;10,0;10,0;0,0
199;675;13,0;28,0;15,0
200;696;4,0;19,0;15,0
201;786;9,0;9,0;0,0
202;966;28,0;28,0;0,0
203;970;38,0;38,0;0,0
204;988;24,0;39,0;15,0
205;997;2,0;17,0;15,0
206;1020;46,0;76,0;30,0
207;1023;22,0;22,0;0,0
208;1040;32,0;32,0;0,0
209;1049;39,0;39,0;0,0
210;1090;13,0;13,0;0,0
211;1111;31,0;31,0;0,0
212;1117;33,0;33,0;0,0
213;1142;7,0;7,0;0,0
214;1145;32,0;47,0;15,0
215;1252;35,0;35,0;0,0
216;1256;27,0;37,0;10,0
217;1260;10,0;10,0;0,0
218;1279;17,0;17,0;0,0
219;1308;6,0;6,0;0,0
220;1319;39,0;39,0;0,0
221;1336;31,0;31,0;0,0
222;1337;47,0;57,0;10,0
223;1357;27,0;37,0;10,0
224;1409;22,0;22,0;0,0
225;1465;10,0;20,0;10,0
226;1496;20,0;30,0;10,0
227;1517;13,0;13,0;0,0
228;1529;22,0;22,0;0,0
229;1663;9,0;9,0;0,0
230;1686;0,0;0,0;0,0
231;1726;27,0;32,0;5,0
232;1731;28,0;33,0;5,0
233;1833;16,0;16,0;0,0
234;2027;24,0;24,0;0,0
235;2127;47,0;47,0;0,0
236;2259;21,0;26,0;5,0
237;2335;1,0;11,0;10,0
238;2381;15,0;25,0;10,0
239;2422;3,0;18,0;15,0
240;2502;32,0;37,0;5,0
241;2571;6,0;11,0;5,0
242;2739;36,0;41,0;5,0
243;2858;46,0;46,0;0,0
244;2896;15,0;20,0;5,0
245;2921;26,0;26,0;0,0
246;2958;43,0;43,0;0,0
247;2973;47,0;52,0;5,0
248;3057;4,0;4,0;0,0
249;3111;48,0;53,0;5,0
250;3166;23,0;23,0;0,0
251;3211;6,0;6,0;0,0
252;3245;2,0;2,0;0,0
253;3280;44,0;49,0;5,0
254;3288;14,0;14,0;0,0
255;3366;13,0;13,0;0,0
256;3382;2,0;2,0;0,0
257;3436;48,0;53,0;5,0
258;3488;14,0;19,0;5,0
259;3541;12,0;12,0;0,0
260;3572;45,0;50,0;5,0
261;3604;44,0;49,0;5,0
262;3647;5,0;5,0;0,0
263;3702;28,0;28,0;0,0
264;3720;27,0;47,0;20,0
265;3768;45,0;45,0;0,0
266;3796;8,0;8,0;0,0
267;3808;24,0;39,0;15,0
268;3822;44,0;44,0;0,0
269;3853;44,0;44,0;0,0
270;3885;26,0;26,0;0,0
271;3925;20,0;20,0;0,0
272;3942;7,0;7,0;0,0
273;3976;50,0;50,0;0,0
274;3990;7,0;7,0;0,0
275;4204;45,0;55,0;10,0
276;4257;17,0;27,0;10,0
277;4296;17,0;17,0;0,0
278;4302;43,0;43,0;0,0
279;4337;27,0;27,0;0,0
280;4343;7,0;7,0;0,0
281;4397;7,0;7,0;0,0
282;4509;44,0;44,0;0,0
283;4547;33,0;33,0;0,0
284;4571;15,0;15,0;0,0
285;4599;33,0;33,0;0,0
286;4617;24,0;24,0;0,0
287;4653;31,0;31,0;0,0
288;4671;37,0;37,0;0,0
289;4700;26,0;26,0;0,0
290;4707;0,0;0,0;0,0
291;4719;6,0;6,0;0,0
292;4820;23,0;23,0;0,0
293;4827;9,0;17,0;8,0
294;4861;44,0;44,0;0,0
295;4870;37,0;37,0;0,0
296;4875;39,0;39,0;0,0
297;4949;44,0;44,0;0,0
298;4973;14,0;19,0;5,0
299;5022;11,0;11,0;0,0
300;5032;15,0;15,0;0,0
301;5036;27,0;27,0;0,0
302;5037;10,0;16,0;6,0
303;5060;2,0;2,0;0,0
304;5075;48,0;48,0;0,0
305;5117;11,0;11,0;0,0
306;5155;41,0;41,0;0,0
307;5160;31,0;31,0;0,0
308;5172;21,0;21,0;0,0
309;5195;49,0;49,0;0,0
310;5212;23,0;23,0;0,0
311;5257;14,0;24,0;10,0
312;5258;23,0;33,0;10,0
313;5265;49,0;59,0;10,0
314;5289;44,0;44,0;0,0
315;5319;10,0;20,0;10,0
316;5341;23,0;23,0;0,0
317;5344;28,0;28,0;0,0
318;5618;18,0;23,0;5,0
319;5634;28,0;28,0;0,0
320;6087;18,0;23,0;5,0
321;6105;30,0;35,0;5,0
322;6235;28,0;28,0;0,0
323;6304;0,0;10,0;10,0
324;6313;13,0;13,0;0,0
325;6507;44,0;44,0;0,0
326;6542;4,0;4,0;0,0
327;6814;16,0;16,0;0,0
328;7135;31,0;31,0;0,0
329;7265;40,0;45,0;5,0
330;7281;9,0;9,0;0,0
331;7333;44,0;44,0;0,0
332;7350;6,0;6,0;0,0
333;7366;33,0;33,0;0,0
334;7436;35,0;35,0;0,0
335;7469;43,0;43,0;0,0
336;7499;40,0;45,0;5,0
337;7895;0,0;0,0;0,0
338;7911;31,0;31,0;0,0
339;8008;44,0;44,0;0,0
340;8056;15,0;15,0;0,0
341;8239;35,0;50,0;15,0
342;33;36,0;36,0;0,0
343;39;12,0;27,0;15,0
344;72;32,0;32,0;0,0
345;85;31,0;31,0;0,0
346;130;34,0;34,0;0,0
347;314;42,0;42,0;0,0
348;339;20,0;20,0;0,0
349;346;11,0;26,0;15,0
350;401;7,0;7,0;0,0
351;437;25,0;25,0;0,0
352;444;38,0;38,0;0,0
353;448;35,0;50,0;15,0
354;475;42,0;42,0;0,0
355;476;40,0;55,0;15,0
356;489;26,0;41,0;15,0
357;532;24,0;39,0;15,0
358;536;46,0;91,0;45,0
359;544;48,0;48,0;0,0
360;593;8,0;8,0;0,0
361;599;5,0;5,0;0,0
362;673;45,0;45,0;0,0
363;683;50,0;50,0;0,0
364;702;8,0;8,0;0,0
365;731;37,0;37,0;0,0
366;742;22,0;22,0;0,0
367;784;34,0;34,0;0,0
368;791;15,0;45,0;30,0
369;812;43,0;43,0;0,0
370;854;20,0;50,0;30,0
371;910;48,0;48,0;0,0
372;922;10,0;10,0;0,0
373;1004;20,0;50,0;30,0
374;1020;76,0;76,0;0,0
375;1024;14,0;44,0;30,0
376;1064;5,0;5,0;0,0
377;1084;43,0;58,0;15,0
378;1116;16,0;16,0;0,0
379;1120;35,0;35,0;0,0
380;1122;11,0;11,0;0,0
381;1162;23,0;23,0;0,0
382;1176;31,0;31,0;0,0
383;1194;35,0;50,0;15,0
384;1219;30,0;40,0;10,0
385;1246;31,0;31,0;0,0
386;1264;33,0;33,0;0,0
387;1269;29,0;29,0;0,0
388;1302;40,0;40,0;0,0
389;1324;3,0;13,0;10,0
390;1326;14,0;14,0;0,0
391;1347;5,0;5,0;0,0
392;1398;6,0;16,0;10,0
393;1458;16,0;26,0;10,0
394;1544;5,0;5,0;0,0
395;1639;33,0;33,0;0,0
396;1677;15,0;15,0;0,0
397;1695;34,0;39,0;5,0
398;1801;18,0;23,0;5,0
399;1845;35,0;45,0;10,0
400;1899;28,0;28,0;0,0
401;1969;24,0;24,0;0,0
402;1979;30,0;30,0;0,0
403;1989;40,0;45,0;5,0
404;2057;34,0;34,0;0,0
405;2204;12,0;12,0;0,0
406;2209;48,0;48,0;0,0
407;2228;44,0;44,0;0,0
408;2248;29,0;29,0;0,0
409;2469;45,0;50,0;5,0
410;2577;0,0;5,0;5,0
411;2593;36,0;41,0;5,0
412;2659;45,0;45,0;0,0
413;2747;9,0;14,0;5,0
414;2775;50,0;55,0;5,0
415;2969;23,0;33,0;10,0
416;3282;27,0;32,0;5,0
417;3359;25,0;25,0;0,0
418;3535;45,0;50,0;5,0
419;3562;15,0;15,0;0,0
420;3576;0,0;5,0;5,0
421;3581;30,0;35,0;5,0
422;3608;50,0;50,0;0,0
423;3615;50,0;50,0;0,0
424;3620;6,0;26,0;20,0
425;3718;16,0;16,0;0,0
426;3747;30,0;30,0;0,0
427;3810;0,0;0,0;0,0
428;3841;37,0;37,0;0,0
429;3880;11,0;11,0;0,0
430;3930;42,0;42,0;0,0
431;3983;23,0;23,0;0,0
432;4016;44,0;44,0;0,0
433;4024;43,0;43,0;0,0
434;4050;46,0;56,0;10,0
435;4068;26,0;26,0;0,0
436;4076;2,0;2,0;0,0
437;4091;40,0;40,0;0,0
438;4104;7,0;7,0;0,0
439;4105;0,0;0,0;0,0
440;4108;39,0;39,0;0,0
441;4123;49,0;49,0;0,0
442;4125;8,0;8,0;0,0
443;4143;18,0;28,0;10,0
444;4210;44,0;44,0;0,0
445;4253;16,0;26,0;10,0
446;4302;43,0;43,0;0,0
447;4389;48,0;56,0;8,0
448;4440;24,0;24,0;0,0
449;4441;43,0;43,0;0,0
450;4449;0,0;0,0;0,0
451;4527;39,0;39,0;0,0
452;4530;12,0;12,0;0,0
453;4571;15,0;15,0;0,0
454;4574;45,0;45,0;0,0
455;4625;48,0;48,0;0,0
456;4650;41,0;49,0;8,0
457;4673;17,0;25,0;8,0
458;4682;29,0;29,0;0,0
459;4689;3,0;3,0;0,0
460;4719;6,0;6,0;0,0
461;4736;1,0;1,0;0,0
462;4756;9,0;9,0;0,0
463;4825;23,0;31,0;8,0
464;4836;22,0;22,0;0,0
465;4840;40,0;48,0;8,0
466;4867;42,0;50,0;8,0
467;4878;39,0;55,0;16,0
468;4896;5,0;5,0;0,0
469;4917;0,0;5,0;5,0
470;4940;26,0;26,0;0,0
471;4969;46,0;46,0;0,0
472;5016;33,0;33,0;0,0
473;5018;29,0;35,0;6,0
474;5058;1,0;1,0;0,0
475;5104;47,0;53,0;6,0
476;5113;39,0;45,0;6,0
477;5188;1,0;7,0;6,0
478;5208;24,0;24,0;0,0
479;5231;37,0;43,0;6,0
480;5234;47,0;47,0;0,0
481;5249;37,0;37,0;0,0
482;5271;25,0;25,0;0,0
483;5277;25,0;55,0;30,0
484;5279;5,0;15,0;10,0
485;5408;30,0;35,0;5,0
486;5549;47,0;47,0;0,0
487;5699;14,0;29,0;15,0
488;5718;9,0;14,0;5,0
489;5926;48,0;53,0;5,0
490;5932;50,0;60,0;10,0
491;6100;12,0;22,0;10,0
492;6185;12,0;17,0;5,0
493;6229;4,0;9,0;5,0
494;6311;7,0;7,0;0,0
495;6397;39,0;39,0;0,0
496;6610;40,0;40,0;0,0
497;6748;20,0;25,0;5,0
498;7007;50,0;50,0;0,0
499;7038;16,0;16,0;0,0
500;7290;22,0;22,0;0,0
501;7313;16,0;21,0;5,0
502;7428;26,0;31,0;5,0
503;7812;45,0;50,0;5,0
504;7960;2,0;2,0;0,0
505;7986;14,0;14,0;0,0
506;8291;45,0;45,0;0,0
507;3;21,0;21,0;0,0
508;31;32,0;62,0;30,0
509;39;27,0;42,0;15,0
510;132;44,0;74,0;30,0
511;140;13,0;28,0;15,0
512;159;31,0;46,0;15,0
513;161;15,0;15,0;0,0
514;191;2,0;2,0;0,0
515;192;14,0;14,0;0,0
516;206;15,0;60,0;45,0
517;228;0,0;30,0;30,0
518;245;59,0;74,0;15,0
519;260;8,0;8,0;0,0
520;261;10,0;10,0;0,0
521;298;9,0;9,0;0,0
522;376;0,0;0,0;0,0
523;386;26,0;41,0;15,0
524;395;13,0;28,0;15,0
525;404;35,0;35,0;0,0
526;419;48,0;48,0;0,0
527;440;4,0;19,0;15,0
528;457;22,0;22,0;0,0
529;469;10,0;25,0;15,0
530;478;18,0;33,0;15,0
531;501;23,0;23,0;0,0
532;512;36,0;51,0;15,0
533;527;45,0;45,0;0,0
534;541;28,0;43,0;15,0
535;548;14,0;29,0;15,0
536;580;30,0;30,0;0,0
537;718;22,0;52,0;30,0
538;743;13,0;13,0;0,0
539;752;16,0;16,0;0,0
540;768;48,0;78,0;30,0
541;775;43,0;43,0;0,0
542;835;37,0;37,0;0,0
543;857;48,0;48,0;0,0
544;865;10,0;10,0;0,0
545;905;6,0;6,0;0,0
546;911;3,0;18,0;15,0
547;914;12,0;27,0;15,0
548;922;10,0;25,0;15,0
549;933;14,0;14,0;0,0
550;936;29,0;29,0;0,0
551;942;50,0;50,0;0,0
552;966;28,0;28,0;0,0
553;1026;45,0;60,0;15,0
554;1060;31,0;31,0;0,0
555;1080;41,0;56,0;15,0
556;1092;7,0;7,0;0,0
557;1114;32,0;62,0;30,0
558;1118;27,0;27,0;0,0
559;1160;38,0;83,0;45,0
560;1174;6,0;21,0;15,0
561;1183;15,0;15,0;0,0
562;1189;28,0;43,0;15,0
563;1231;39,0;49,0;10,0
564;1251;17,0;27,0;10,0
565;1259;31,0;31,0;0,0
566;1291;20,0;30,0;10,0
567;1298;4,0;4,0;0,0
568;1333;43,0;63,0;20,0
569;1369;35,0;45,0;10,0
570;1376;35,0;35,0;0,0
571;1405;18,0;18,0;0,0
572;1436;29,0;39,0;10,0
573;1462;36,0;36,0;0,0
574;1512;4,0;4,0;0,0
575;1526;3,0;8,0;5,0
576;1546;43,0;43,0;0,0
577;1662;38,0;38,0;0,0
578;1752;28,0;28,0;0,0
579;1795;34,0;34,0;0,0
580;1824;49,0;54,0;5,0
581;1866;40,0;40,0;0,0
582;1938;25,0;30,0;5,0
583;2089;45,0;50,0;5,0
584;2129;27,0;42,0;15,0
585;2216;34,0;39,0;5,0
586;2276;25,0;35,0;10,0
587;2287;19,0;24,0;5,0
588;2300;18,0;28,0;10,0
589;2305;28,0;28,0;0,0
590;2307;14,0;19,0;5,0
591;2314;50,0;55,0;5,0
592;2315;30,0;35,0;5,0
593;2398;33,0;33,0;0,0
594;2462;30,0;30,0;0,0
595;2512;37,0;42,0;5,0
596;2534;23,0;28,0;5,0
597;2561;49,0;54,0;5,0
598;2600;5,0;5,0;0,0
599;2762;17,0;17,0;0,0
600;2826;30,0;35,0;5,0
601;2828;20,0;30,0;10,0
602;2868;23,0;28,0;5,0
603;2872;16,0;16,0;0,0
604;2948;48,0;53,0;5,0
605;3007;11,0;11,0;0,0
606;3018;3,0;8,0;5,0
607;3028;10,0;15,0;5,0
608;3037;31,0;36,0;5,0
609;3047;33,0;38,0;5,0
610;3114;19,0;19,0;0,0
611;3121;17,0;17,0;0,0
612;3154;37,0;42,0;5,0
613;3230;25,0;25,0;0,0
614;3375;48,0;58,0;10,0
615;3400;35,0;35,0;0,0
616;3426;37,0;37,0;0,0
617;3427;43,0;43,0;0,0
618;3464;40,0;40,0;0,0
619;3473;48,0;53,0;5,0
620;3569;36,0;36,0;0,0
621;3693;49,0;69,0;20,0
622;3703;39,0;39,0;0,0
623;3707;4,0;24,0;20,0
624;3723;43,0;63,0;20,0
625;3737;26,0;26,0;0,0
626;3744;11,0;11,0;0,0
627;3809;25,0;45,0;20,0
628;3821;18,0;18,0;0,0
629;3831;44,0;44,0;0,0
630;3866;15,0;15,0;0,0
631;3907;7,0;7,0;0,0
632;3949;42,0;42,0;0,0
633;3954;44,0;44,0;0,0
634;3957;43,0;43,0;0,0
635;3966;28,0;28,0;0,0
636;4096;25,0;35,0;10,0
637;4115;43,0;43,0;0,0
638;4123;49,0;49,0;0,0
639;4177;40,0;40,0;0,0
640;4241;42,0;42,0;0,0
641;4271;7,0;7,0;0,0
642;4349;10,0;18,0;8,0
643;4354;0,0;0,0;0,0
644;4360;47,0;47,0;0,0
645;4388;49,0;49,0;0,0
646;4392;7,0;15,0;8,0
647;4482;43,0;51,0;8,0
648;4559;43,0;43,0;0,0
649;4566;31,0;31,0;0,0
650;4615;41,0;41,0;0,0
651;4627;13,0;13,0;0,0
652;4645;19,0;19,0;0,0
653;4654;5,0;5,0;0,0
654;4661;40,0;40,0;0,0
655;4686;15,0;15,0;0,0
656;4737;31,0;31,0;0,0
657;4790;42,0;42,0;0,0
658;4836;22,0;22,0;0,0
659;4845;39,0;39,0;0,0
660;4900;3,0;3,0;0,0
661;4925;44,0;49,0;5,0
662;4998;36,0;42,0;6,0
663;5002;37,0;37,0;0,0
664;5030;5,0;11,0;6,0
665;5097;49,0;49,0;0,0
666;5161;45,0;45,0;0,0
667;5163;56,0;62,0;6,0
668;5171;1,0;13,0;12,0
669;5268;16,0;16,0;0,0
670;5321;19,0;29,0;10,0
671;5335;34,0;44,0;10,0
672;5367;3,0;13,0;10,0
673;5373;2,0;2,0;0,0
674;5492;44,0;44,0;0,0
675;5654;19,0;29,0;10,0
676;5740;28,0;28,0;0,0
677;5848;0,0;0,0;0,0
678;6442;8,0;8,0;0,0
679;6524;42,0;47,0;5,0
680;7125;9,0;9,0;0,0
681;7472;1,0;1,0;0,0
682;7488;32,0;37,0;5,0
683;7666;21,0;26,0;5,0
684;7792;6,0;16,0;10,0
685;7948;44,0;44,0;0,0
686;8246;14,0;14,0;0,0
687;8288;24,0;29,0;5,0
688;8328;43,0;48,0;5,0
689;3;21,0;36,0;15,0
690;10;17,0;32,0;15,0
691;13;13,0;28,0;15,0
692;18;40,0;70,0;30,0
693;80;39,0;54,0;15,0
694;89;21,0;36,0;15,0
695;100;13,0;28,0;15,0
696;110;2,0;2,0;0,0
697;169;34,0;34,0;0,0
698;179;48,0;48,0;0,0
699;251;5,0;20,0;15,0
700;258;27,0;27,0;0,0
701;387;30,0;60,0;30,0
702;433;14,0;29,0;15,0
703;475;42,0;42,0;0,0
704;502;31,0;46,0;15,0
705;542;16,0;16,0;0,0
706;553;10,0;25,0;15,0
707;556;13,0;13,0;0,0
708;557;17,0;32,0;15,0
709;575;18,0;33,0;15,0
710;587;30,0;45,0;15,0
711;640;8,0;8,0;0,0
712;642;44,0;74,0;30,0
713;648;49,0;64,0;15,0
714;649;33,0;48,0;15,0
715;695;28,0;43,0;15,0
716;701;4,0;19,0;15,0
717;731;37,0;37,0;0,0
718;764;32,0;47,0;15,0
719;782;19,0;34,0;15,0
720;849;44,0;74,0;30,0
721;889;23,0;38,0;15,0
722;932;5,0;20,0;15,0
723;935;32,0;47,0;15,0
724;942;50,0;80,0;30,0
725;943;45,0;45,0;0,0
726;962;66,0;96,0;30,0
727;973;36,0;66,0;30,0
728;974;12,0;27,0;15,0
729;975;20,0;50,0;30,0
730;978;41,0;56,0;15,0
731;982;5,0;20,0;15,0
732;986;47,0;62,0;15,0
733;1043;24,0;39,0;15,0
734;1078;45,0;60,0;15,0
735;1107;0,0;15,0;15,0
736;1110;50,0;50,0;0,0
737;1132;25,0;55,0;30,0
738;1163;23,0;38,0;15,0
739;1165;43,0;43,0;0,0
740;1203;29,0;29,0;0,0
741;1224;23,0;33,0;10,0
742;1276;4,0;4,0;0,0
743;1278;29,0;39,0;10,0
744;1288;44,0;54,0;10,0
745;1307;36,0;36,0;0,0
746;1312;19,0;29,0;10,0
747;1344;34,0;34,0;0,0
748;1403;10,0;20,0;10,0
749;1405;18,0;28,0;10,0
750;1406;37,0;47,0;10,0
751;1426;17,0;27,0;10,0
752;1448;1,0;21,0;20,0
753;1449;29,0;29,0;0,0
754;1463;33,0;43,0;10,0
755;1479;6,0;6,0;0,0
756;1498;20,0;50,0;30,0
757;1522;32,0;32,0;0,0
758;1618;19,0;24,0;5,0
759;1671;7,0;7,0;0,0
760;1728;25,0;25,0;0,0
761;1753;44,0;44,0;0,0
762;1767;32,0;37,0;5,0
763;1809;2,0;2,0;0,0
764;1824;54,0;54,0;0,0
765;1892;13,0;13,0;0,0
766;1968;5,0;10,0;5,0
767;2003;36,0;36,0;0,0
768;2012;11,0;11,0;0,0
769;2040;27,0;37,0;10,0
770;2122;9,0;14,0;5,0
771;2171;49,0;49,0;0,0
772;2180;22,0;22,0;0,0
773;2209;48,0;53,0;5,0
774;2265;18,0;23,0;5,0
775;2521;28,0;28,0;0,0
776;2559;22,0;27,0;5,0
777;2562;8,0;18,0;10,0
778;2573;13,0;23,0;10,0
779;2584;42,0;52,0;10,0
780;2699;30,0;30,0;0,0
781;2726;42,0;47,0;5,0
782;2743;48,0;48,0;0,0
783;2751;42,0;47,0;5,0
784;2794;46,0;46,0;0,0
785;2863;48,0;53,0;5,0
786;2908;21,0;21,0;0,0
787;2933;25,0;30,0;5,0
788;2942;39,0;54,0;15,0
789;2946;41,0;41,0;0,0
790;3043;43,0;43,0;0,0
791;3118;16,0;21,0;5,0
792;3171;26,0;26,0;0,0
793;3180;2,0;2,0;0,0
794;3293;17,0;17,0;0,0
795;3305;9,0;19,0;10,0
796;3466;18,0;23,0;5,0
797;3467;38,0;43,0;5,0
798;3470;30,0;35,0;5,0
799;3490;38,0;43,0;5,0
800;3504;29,0;34,0;5,0
801;3542;35,0;40,0;5,0
802;3551;12,0;17,0;5,0
803;3600;30,0;40,0;10,0
804;3656;2,0;2,0;0,0
805;3658;27,0;27,0;0,0
806;3676;19,0;39,0;20,0
807;3679;27,0;27,0;0,0
808;3684;47,0;67,0;20,0
809;3685;50,0;70,0;20,0
810;3686;16,0;16,0;0,0
811;3697;43,0;43,0;0,0
812;3706;40,0;60,0;20,0
813;3708;38,0;78,0;40,0
814;3720;47,0;47,0;0,0
815;3731;4,0;4,0;0,0
816;3732;46,0;46,0;0,0
817;3734;37,0;37,0;0,0
818;3743;45,0;45,0;0,0
819;3745;16,0;36,0;20,0
820;3751;10,0;10,0;0,0
821;3754;14,0;14,0;0,0
822;3757;14,0;44,0;30,0
823;3763;50,0;70,0;20,0
824;3768;45,0;45,0;0,0
825;3772;41,0;41,0;0,0
826;3777;27,0;27,0;0,0
827;3784;38,0;38,0;0,0
828;3790;40,0;40,0;0,0
829;3791;1,0;1,0;0,0
