customer_id,age,region,tenure_months,gender,email_opt_in,loyalty_points,loyalty_tier_encoded,total_orders,total_spent,avg_order_value,median_order_value,max_order_value,discount_rate_mean,pct_orders_discounted,recency_days,days_since_first_order,orders_last_3m,orders_last_1m,distinct_products,category_diversity,category_share_electronics,category_share_apparel,category_share_grocery,category_share_home,returns_count,returns_rate,complaint_count,satisfaction_score,email_open_rate,email_click_rate,website_sessions_3m,app_sessions_3m,avg_delivery_days,on_time_rate,future_3m_spend,churn_90d
28,31,West,20,F,1,44,1,2,139.04,72.05,71.99,113.81,0.5,0.62,151,590,0,0,10,1,0.225,0.221,0.236,0.318,0,0.0,0,10.0,0.037,0.0,1,2,2.06,1.0,45.78,1
29,53,West,21,F,0,21,0,1,24.37,23.45,12.21,88.67,0.305,0.491,216,637,0,0,5,3,0.429,0.225,0.091,0.255,2,1.0,2,3.76,,,1,0,4.56,0.626,0.0,1
30,45,West,12,F,1,0,0,2,89.43,49.34,46.34,67.42,0.506,0.557,145,374,0,0,6,1,0.269,0.266,0.157,0.308,2,1.0,0,,,0.085,3,0,3.75,0.807,0.0,0
31,18,North,34,M,1,67,0,5,186.47,38.76,42.45,65.87,0.326,0.457,199,1025,0,0,8,1,0.751,0.191,0.042,0.016,0,0.0,2,7.91,0.221,0.0,1,0,2.11,0.845,0.0,1
32,33,West,3,F,1,156,2,1,75.39,83.62,66.59,150.12,0.359,0.375,104,93,3,2,2,1,0.444,0.045,0.425,0.086,2,1.0,1,,0.358,0.125,0,0,3.95,0.607,0.0,0
33,43,West,36,F,1,228,2,0,0.0,63.4,71.29,114.53,0.474,0.581,108,1070,2,1,6,2,0.285,0.314,0.237,0.164,0,0.0,2,7.0,0.658,0.237,0,1,2.65,0.784,33.21,0
34,18,North,7,F,1,25,0,1,5.1,5.0,16.42,38.42,0.341,0.35,161,215,0,0,3,2,0.172,0.299,0.319,0.21,1,,1,6.53,0.312,0.0,2,0,3.64,0.699,0.0,1
35,41,South,36,F,0,0,1,0,0.0,67.99,82.91,113.9,0.4,0.432,184,1067,0,0,0,1,0.362,0.296,0.03,0.312,0,0.0,0,8.93,,,1,1,2.19,0.982,47.68,1
36,41,South,20,F,1,5,0,0,0.0,42.61,54.4,70.09,0.485,0.533,144,593,0,0,4,1,0.402,0.166,0.328,0.104,3,1.0,2,5.48,0.417,0.135,0,2,5.17,0.618,0.0,0
37,25,North,9,F,1,8,0,1,51.24,55.97,75.27,145.4,0.6,0.554,85,277,3,1,5,2,0.463,0.071,0.198,0.268,1,1.0,1,,,0.263,1,3,4.19,0.785,21.25,0
38,43,South,31,M,1,0,0,0,0.0,15.53,17.37,73.26,0.443,0.402,226,929,0,0,9,2,0.256,0.097,0.447,0.2,4,1.0,3,3.08,0.26,0.0,0,1,4.41,0.413,0.0,1
39,40,West,35,F,1,277,1,4,146.14,39.84,46.29,114.02,0.413,0.42,102,1054,0,0,5,1,0.239,0.3,0.248,0.212,0,0.0,0,9.75,0.528,0.192,3,1,3.36,1.0,39.55,1
40,25,West,19,F,1,128,1,6,391.19,70.93,68.92,112.77,0.342,0.459,95,562,1,0,7,1,0.137,0.367,0.241,0.255,2,0.333,1,5.93,0.782,0.237,0,0,3.67,0.555,77.39,1
41,51,West,33,F,1,132,0,0,0.0,59.37,64.67,73.89,0.432,0.47,72,979,4,1,3,3,0.283,0.287,0.26,0.171,1,1.0,2,,0.574,0.238,4,2,3.47,0.722,0.0,1
42,50,South,1,F,1,126,0,0,0.0,,72.05,121.01,0.32,0.416,109,30,3,1,3,1,0.181,0.373,0.197,0.249,0,0.0,1,7.68,0.677,0.283,5,3,2.67,0.853,54.91,0
43,36,South,8,F,1,231,2,0,0.0,42.86,29.56,107.97,0.431,0.399,19,245,5,0,2,1,0.135,0.16,0.433,0.273,1,1.0,1,,0.903,0.518,4,4,1.93,0.714,42.23,0
44,37,East,40,F,1,30,0,0,0.0,42.76,30.72,108.7,0.478,0.546,168,1185,0,0,2,1,0.337,0.217,0.166,0.28,2,1.0,1,,0.396,0.112,1,0,3.59,0.826,0.0,1
45,48,South,21,F,1,0,0,0,0.0,30.92,45.39,37.17,0.535,0.607,145,639,0,0,5,1,0.06,0.372,0.395,0.173,0,0.0,0,9.45,0.458,0.201,4,2,3.8,1.0,0.0,1
46,37,North,2,M,1,37,0,0,0.0,46.65,47.89,90.87,0.363,0.365,150,50,0,0,2,3,0.253,0.27,0.245,0.232,3,1.0,0,5.66,0.372,0.106,1,4,2.33,0.731,0.0,0
47,18,East,16,M,1,106,0,0,0.0,32.66,44.02,40.7,0.255,0.398,112,468,1,1,11,1,0.154,0.312,0.303,0.231,2,1.0,0,7.04,0.488,0.215,0,0,2.96,0.763,0.0,1
48,45,South,13,F,1,159,2,2,153.8,84.54,80.01,112.83,0.596,0.583,45,388,7,4,5,1,0.188,0.125,0.338,0.349,0,,1,8.01,0.683,0.324,3,3,3.26,0.823,103.27,0
49,30,North,22,M,1,0,1,0,0.0,72.07,64.93,123.77,0.31,0.347,163,660,0,0,12,1,0.214,0.173,0.441,0.172,0,0.0,0,9.19,0.16,0.0,0,0,2.06,0.883,14.03,1
50,35,North,20,F,0,120,0,3,17.45,5.74,5.05,72.37,0.462,0.635,199,587,0,0,4,2,0.222,0.007,0.403,0.368,0,0.0,2,6.54,,,4,0,4.52,0.762,,1
51,57,West,26,F,1,59,1,2,90.31,41.06,47.34,85.51,0.413,0.415,40,784,4,2,0,1,0.081,0.1,0.504,0.315,1,0.5,0,8.54,0.606,0.315,0,7,1.96,0.814,65.11,1
52,38,North,23,F,1,114,1,0,0.0,65.34,76.48,82.39,0.6,0.619,91,695,3,2,6,2,0.142,0.37,0.369,0.119,3,1.0,0,8.54,,0.221,2,2,2.93,0.917,0.0,0
53,40,South,40,M,1,0,0,0,0.0,,32.0,82.5,0.306,0.364,149,1210,0,0,3,2,0.395,0.324,0.075,0.207,2,1.0,0,,0.462,0.072,0,3,1.48,0.895,2.75,1
54,46,West,29,F,0,360,1,2,131.79,66.92,72.15,89.9,0.389,0.373,65,873,2,1,3,1,0.253,0.273,0.263,0.211,2,1.0,3,5.59,,,3,3,4.14,0.602,0.0,0
55,46,South,29,M,1,1,2,5,391.74,84.29,83.14,118.44,0.497,0.572,88,885,3,2,2,1,0.33,0.246,0.258,0.166,2,0.4,2,,0.474,0.205,3,0,3.5,0.791,80.34,0
56,28,North,38,M,0,590,2,6,515.19,87.29,98.93,129.09,0.341,0.302,41,1139,5,4,7,1,0.242,0.377,0.356,0.026,4,0.667,1,7.57,,,5,2,3.16,0.851,129.79,0
57,39,East,19,M,1,104,0,2,120.06,58.91,70.68,85.51,0.495,0.545,145,580,0,0,9,1,0.42,0.229,0.24,0.111,2,1.0,3,4.14,0.404,0.029,1,0,5.38,0.614,0.0,1
58,40,North,9,F,0,200,1,0,0.0,55.32,49.03,108.05,0.493,0.615,103,266,3,1,5,1,0.198,0.437,0.102,0.264,1,1.0,0,8.61,,,0,2,2.27,0.991,20.6,1
59,43,North,38,F,1,296,2,2,162.14,80.15,83.21,135.2,0.551,0.633,23,1155,6,1,5,2,0.262,0.49,0.106,0.141,0,0.0,2,6.9,0.848,0.376,4,3,1.74,0.806,76.19,0
60,43,West,26,F,1,292,2,5,304.04,57.11,49.14,117.67,0.193,0.241,80,769,4,1,6,1,0.25,0.352,0.15,0.248,0,0.0,0,8.75,0.504,0.227,0,2,3.64,0.818,116.73,0
61,71,South,26,M,1,34,0,2,120.42,60.09,66.62,128.59,0.292,0.326,107,770,1,0,10,1,0.377,0.218,0.188,0.217,1,0.5,2,5.38,0.462,0.056,1,4,5.49,0.621,4.57,0
62,25,East,16,M,1,0,0,0,0.0,49.53,46.37,86.66,0.383,0.429,81,492,0,0,4,1,0.226,0.203,0.121,0.451,2,,2,4.18,0.563,0.143,0,0,4.27,0.6,0.0,1
63,51,South,17,M,1,0,0,2,162.46,84.51,78.13,99.97,0.439,0.475,174,498,0,0,3,1,0.446,0.102,0.2,0.252,2,1.0,2,4.52,0.451,0.069,1,0,3.42,0.663,0.0,1
64,54,North,34,M,0,270,1,0,0.0,44.81,28.49,62.2,0.338,0.408,57,1025,4,3,4,1,0.272,0.277,0.167,0.284,2,1.0,1,,,,4,2,3.47,0.784,20.06,0
65,45,South,36,M,1,208,2,0,0.0,,92.18,158.22,0.377,0.46,89,1074,2,0,5,1,0.167,0.47,0.295,0.068,0,0.0,0,8.76,0.526,0.159,0,2,3.53,0.909,42.05,0
66,32,North,33,F,0,0,1,0,0.0,95.33,96.87,167.63,0.174,0.231,121,1002,2,1,3,1,0.279,0.133,0.284,0.304,2,,1,6.25,,,1,3,3.81,0.782,25.33,0
67,59,South,34,M,0,0,0,1,54.46,53.05,55.06,119.82,0.267,0.352,142,1005,0,0,0,1,0.054,0.448,0.337,0.161,4,1.0,1,6.66,,,4,0,2.7,0.747,0.0,1
68,18,South,31,M,1,399,2,5,465.97,92.11,98.76,120.4,0.564,0.64,39,925,4,1,6,1,0.352,0.214,0.222,0.212,1,0.2,1,7.04,0.734,0.203,2,0,5.31,0.673,108.44,0
69,31,North,26,F,0,238,1,1,106.04,105.4,99.31,179.16,0.234,0.222,98,767,2,0,7,1,0.268,0.404,0.311,0.017,1,1.0,1,7.15,,,2,0,1.88,0.866,30.72,1
70,54,East,22,F,0,0,0,0,0.0,33.3,25.96,69.91,0.352,0.285,180,657,0,0,3,1,0.504,0.23,0.183,0.084,1,1.0,0,8.79,,,3,0,2.37,0.893,0.0,1
71,35,North,39,M,1,337,1,7,241.59,36.46,40.86,83.32,0.37,0.429,80,1156,3,2,6,1,0.438,0.084,0.216,0.263,3,0.429,0,,0.55,0.217,2,0,3.64,0.923,87.16,0
72,59,South,20,F,1,0,1,1,65.95,63.67,72.94,120.2,0.33,0.357,164,585,0,0,8,1,0.391,0.172,0.254,0.182,0,0.0,0,9.63,0.099,0.0,2,3,3.04,0.968,61.82,0
73,21,East,28,M,1,317,1,4,307.11,75.17,79.42,140.39,0.341,0.401,131,853,1,1,9,1,0.22,0.402,0.138,0.24,1,0.25,1,7.71,0.49,0.188,4,2,3.06,0.833,39.79,1
74,26,South,14,F,1,260,2,4,334.36,86.37,99.19,137.2,0.52,0.653,73,431,2,1,6,1,0.457,0.122,0.245,0.176,5,1.0,3,3.23,0.472,0.151,2,0,4.0,0.553,24.9,1
75,33,West,16,F,1,24,0,0,0.0,53.52,58.03,121.02,0.353,0.389,98,483,0,0,3,2,0.338,0.069,0.367,0.226,0,0.0,2,7.35,,0.255,5,5,4.68,0.665,,1
76,45,East,21,M,0,193,1,4,338.15,83.49,87.57,123.76,0.4,0.465,122,635,1,0,2,2,0.096,0.195,0.363,0.346,1,0.25,0,7.67,,,4,1,4.08,0.892,63.2,1
77,37,West,14,M,1,0,1,2,99.22,45.55,52.13,81.5,0.373,0.381,172,431,0,0,6,1,0.224,0.21,0.384,0.181,2,1.0,2,4.96,0.19,0.0,0,1,3.42,0.748,0.0,1
78,34,South,34,F,1,0,0,0,0.0,37.86,36.01,71.46,0.277,0.351,157,1007,0,0,3,1,0.149,0.267,0.22,0.364,0,0.0,2,6.57,0.332,0.011,1,0,3.4,0.952,15.34,1
79,57,West,8,M,1,76,0,2,105.7,,38.52,65.47,0.463,0.474,193,235,0,0,11,2,0.178,0.081,0.23,0.51,2,1.0,1,8.12,0.214,0.0,3,0,3.09,0.974,0.0,1
80,58,East,25,O,1,365,0,5,24.82,5.0,5.15,20.97,0.488,0.588,128,756,1,0,9,1,0.327,0.275,0.29,0.108,1,0.2,0,6.57,,0.351,4,3,4.01,0.853,29.24,1
81,35,East,26,M,1,319,1,0,0.0,67.52,73.23,128.34,0.257,0.313,61,768,3,2,8,1,0.287,0.244,0.306,0.163,1,1.0,0,7.8,0.643,0.283,5,0,3.59,0.916,45.0,1
82,19,West,2,M,1,307,1,2,167.89,79.15,72.27,114.46,0.332,0.375,111,68,3,2,3,2,0.255,0.258,0.439,0.048,2,1.0,1,7.36,0.451,0.152,1,1,2.44,0.725,6.64,0
83,18,East,19,M,1,349,1,5,377.49,81.15,69.91,136.02,0.466,0.434,50,561,4,2,8,2,0.199,0.332,0.18,0.289,2,0.4,2,5.66,0.607,0.24,3,0,5.07,0.639,75.2,1
84,42,West,27,F,1,95,0,0,0.0,27.03,21.22,79.0,0.547,0.529,156,812,1,0,5,1,0.349,0.227,0.188,0.236,2,1.0,2,5.65,0.524,0.126,0,2,3.54,0.805,0.0,1
85,47,East,29,M,1,210,0,0,0.0,29.7,40.38,72.86,0.35,0.429,140,874,0,0,3,1,0.316,0.105,0.341,0.238,1,1.0,2,4.87,0.474,0.107,0,1,4.84,0.664,,1
86,40,East,22,F,1,98,0,3,183.74,63.26,67.22,122.15,0.309,0.417,151,646,0,0,5,1,0.316,0.284,0.262,0.138,2,0.667,0,8.83,0.522,0.137,0,3,3.95,0.948,2.55,1
87,39,South,32,F,0,0,1,0,0.0,88.8,87.8,150.23,0.421,0.483,111,964,1,1,0,1,0.295,0.467,0.168,0.071,2,1.0,0,7.38,,,0,4,2.54,0.83,0.0,0
88,30,North,23,M,1,0,0,1,56.39,62.07,54.32,83.03,0.6,0.639,188,681,0,0,9,2,0.131,0.187,0.402,0.28,3,,1,6.3,0.246,0.0,1,3,3.26,0.802,0.0,1
89,47,East,24,F,0,137,0,0,0.0,75.35,77.56,146.01,0.511,0.563,111,725,1,0,0,2,0.279,0.327,0.139,0.255,2,1.0,0,8.03,,,1,0,1.79,0.897,0.0,0
90,60,West,27,M,1,130,1,5,226.38,44.73,46.21,102.01,0.391,0.434,88,811,1,1,7,1,0.394,0.052,0.315,0.239,4,0.8,3,,0.347,0.061,3,0,5.36,0.48,0.0,1
91,18,West,35,F,0,106,1,1,57.57,62.54,66.19,85.03,0.415,0.43,128,1054,2,1,7,1,0.13,0.426,0.3,0.143,0,0.0,0,7.63,,,5,0,3.53,0.872,67.66,1
92,39,East,16,M,1,16,1,1,82.12,88.24,108.28,115.26,0.423,0.405,83,477,0,0,9,2,0.396,0.221,0.188,0.196,4,1.0,4,4.18,0.552,0.193,5,0,3.38,0.612,0.0,1
93,28,East,18,M,1,175,0,3,177.45,56.99,60.94,72.13,0.29,0.273,117,545,1,0,11,3,0.573,0.089,0.226,0.112,3,1.0,1,,0.467,0.176,1,0,2.77,0.698,5.35,0
94,22,South,16,M,0,0,0,2,124.95,61.15,55.59,113.7,0.537,0.553,170,479,0,0,7,3,0.236,0.314,0.253,0.198,1,0.5,1,,,,0,0,3.8,0.77,0.0,1
95,26,North,20,M,1,149,0,2,118.32,63.38,52.3,99.84,0.458,0.513,126,600,0,0,7,2,0.253,0.224,0.299,0.223,1,0.5,0,,0.557,0.142,0,3,3.13,0.846,27.67,1
96,44,North,41,F,0,169,0,2,117.19,54.21,49.74,64.07,0.6,0.584,98,1233,2,1,10,1,0.348,0.229,0.16,0.263,1,,0,7.06,,,4,1,2.15,0.757,30.87,0
97,44,North,31,F,1,0,1,0,0.0,71.62,67.97,100.54,0.495,0.541,163,926,0,0,3,1,0.048,0.249,0.485,0.218,0,0.0,0,9.55,,0.0,0,3,2.49,0.895,53.32,1
98,57,East,10,M,1,71,1,2,96.91,48.34,54.97,80.72,0.521,0.534,100,313,3,0,4,2,0.337,0.039,0.327,0.297,1,0.5,2,5.97,0.494,0.118,0,1,4.5,0.703,6.18,0
99,40,West,17,M,1,0,1,0,0.0,54.44,49.5,96.56,0.6,0.566,86,504,2,2,5,1,0.378,0.262,0.154,0.206,2,1.0,1,,0.505,0.195,2,0,3.16,0.841,0.0,0
100,18,North,28,F,1,19,1,1,28.24,26.29,18.35,35.51,0.336,0.354,163,854,0,0,3,2,0.305,0.176,0.262,0.256,2,1.0,2,5.97,0.415,0.015,0,0,3.36,0.809,0.0,1
101,37,North,13,M,1,99,0,1,39.52,43.7,48.0,86.03,0.304,0.366,174,394,0,0,3,1,0.375,0.205,0.278,0.142,5,1.0,4,,0.484,0.052,1,5,4.57,0.601,0.0,1
102,23,South,15,F,1,52,1,0,0.0,70.66,65.71,140.67,0.386,0.405,132,459,1,1,6,2,0.459,0.197,0.295,0.049,1,1.0,1,5.66,0.489,0.161,0,0,4.72,0.699,25.81,0
103,25,South,40,M,0,0,0,1,27.25,29.17,33.79,72.91,0.331,0.455,156,1204,0,0,5,2,0.305,0.137,0.373,0.186,2,1.0,0,6.32,,,0,0,4.86,0.721,,0
104,46,South,17,M,0,99,0,0,0.0,40.0,33.24,91.79,0.6,0.681,139,499,1,0,3,1,0.34,0.311,0.261,0.088,0,0.0,0,8.95,,,0,1,3.15,0.915,18.96,1
105,42,North,35,M,1,0,0,0,0.0,25.97,22.19,97.23,0.222,0.324,140,1064,0,0,5,2,0.487,0.196,0.172,0.144,2,1.0,2,6.08,0.343,0.0,0,2,2.88,0.75,0.0,1
106,47,South,39,F,1,137,2,2,135.42,71.58,66.92,109.69,0.408,0.613,70,1172,4,1,7,1,0.314,0.233,0.228,0.225,2,1.0,3,4.21,0.658,0.254,2,1,4.45,0.627,19.05,1
107,35,West,15,F,1,839,2,13,1280.44,97.01,100.3,134.47,0.349,0.37,0,456,7,3,9,1,0.369,0.276,0.256,0.099,1,0.077,1,8.33,,0.402,7,4,2.37,0.883,210.58,0
108,49,South,13,F,1,0,0,2,88.06,41.67,40.52,88.57,0.241,0.219,134,400,0,0,7,1,0.203,0.477,0.137,0.183,0,0.0,0,10.0,0.226,0.0,0,0,2.95,1.0,45.12,0
109,35,West,21,F,1,234,0,0,0.0,67.45,57.68,89.75,0.414,0.425,105,621,2,1,4,2,0.366,0.188,0.333,0.113,3,1.0,0,6.25,0.421,0.146,1,1,3.04,0.822,5.04,1
110,53,East,11,F,1,0,0,1,87.57,83.11,72.66,109.21,0.6,0.653,161,328,0,0,7,1,0.371,0.082,0.458,0.088,1,1.0,2,5.82,0.229,0.027,4,1,3.48,0.746,0.0,1
111,44,South,25,M,0,0,0,0,0.0,38.76,36.23,39.54,0.6,0.67,112,764,1,1,5,3,0.13,0.347,0.345,0.178,1,1.0,0,8.68,,,4,3,4.08,0.79,0.0,0
112,37,West,22,F,0,92,0,2,94.06,49.37,38.04,135.13,0.295,0.354,167,646,0,0,0,1,0.267,0.19,0.193,0.351,1,0.5,2,7.12,,,2,0,2.12,0.878,0.0,1
113,42,East,28,F,1,367,1,1,56.79,62.88,59.57,119.49,0.242,0.269,100,850,3,1,7,1,0.038,0.335,0.442,0.185,1,1.0,3,3.51,0.44,0.235,4,4,3.44,0.568,0.0,0
114,39,North,41,M,0,275,2,6,735.1,133.07,135.13,154.13,0.129,0.2,107,1223,0,0,9,1,0.276,0.187,0.258,0.279,2,,2,6.41,,,1,0,1.55,0.776,111.06,0
115,59,North,34,M,1,0,0,0,0.0,74.0,64.54,134.47,0.446,0.554,114,1014,0,0,1,2,0.64,0.039,0.038,0.283,3,1.0,1,,0.535,0.077,0,4,3.38,0.729,0.0,0
116,42,East,30,F,1,0,0,1,55.15,56.22,63.0,80.05,0.3,0.312,150,896,0,0,4,1,0.085,0.304,0.244,0.367,2,1.0,0,7.93,0.355,0.01,1,2,2.79,0.791,15.46,1
117,39,South,1,M,1,370,0,3,227.24,70.94,82.0,112.3,0.557,0.56,70,30,3,1,5,1,0.358,0.132,0.293,0.217,2,0.667,2,6.79,0.526,0.204,1,0,3.5,0.759,14.2,1
118,37,South,29,O,1,0,0,0,0.0,17.46,26.13,58.72,0.3,0.448,188,880,0,0,2,1,0.293,0.183,0.339,0.185,2,1.0,1,6.75,0.257,0.062,0,0,4.76,0.711,0.0,1
119,50,North,45,M,1,194,2,4,323.13,85.99,91.34,117.06,0.215,0.209,29,1340,3,3,2,1,0.343,0.185,0.176,0.297,1,0.25,3,5.78,0.628,0.172,0,4,3.93,0.858,66.23,1
120,48,North,1,M,1,285,2,4,353.52,84.78,88.16,108.52,0.365,0.458,116,30,0,0,9,1,0.339,0.228,0.306,0.126,2,0.5,3,,0.286,0.147,3,1,4.53,0.592,15.44,1
121,36,West,32,M,1,21,1,1,91.61,90.55,92.47,154.72,0.393,0.433,122,968,2,1,7,2,0.504,0.326,0.039,0.13,1,1.0,1,7.44,0.44,0.109,3,0,2.11,0.91,11.19,1
122,26,West,22,F,1,208,0,1,31.97,32.95,35.91,74.64,0.367,0.491,136,663,0,0,8,1,0.204,0.251,0.42,0.125,2,1.0,2,5.06,0.524,0.136,1,2,4.37,0.657,0.0,1
123,29,East,14,M,1,0,1,0,0.0,99.27,94.43,172.91,0.162,0.197,109,414,2,1,4,3,0.308,0.431,0.157,0.103,3,1.0,1,,0.341,0.0,0,0,2.74,0.806,0.0,0
124,37,South,34,M,0,60,0,0,0.0,35.24,35.04,54.42,0.6,0.67,88,1008,0,0,8,2,0.503,0.035,0.251,0.211,1,1.0,1,5.59,,,2,3,5.38,0.702,0.0,0
125,56,West,45,F,1,126,2,2,140.77,75.06,76.25,105.6,0.578,0.562,54,1335,3,1,1,1,0.053,0.326,0.395,0.226,0,0.0,0,9.83,0.692,0.391,4,4,3.74,0.856,114.39,0
126,36,East,33,F,1,181,2,4,532.02,128.56,133.69,167.64,0.183,0.199,126,999,2,0,8,1,0.285,0.067,0.48,0.168,2,0.5,2,,0.399,0.0,1,1,3.81,0.7,93.78,0
127,32,West,20,F,0,173,0,2,84.99,40.64,27.92,102.71,0.556,0.618,90,586,1,0,8,1,0.356,0.317,0.17,0.158,3,1.0,1,6.27,,,3,2,3.93,0.818,0.0,0
